<titre>|<auteurs>|<editeur>|<annee/copyright>|<isbn-10>|<isbn-13>|<lang>|<cote>
Le Protocole Pélican (01)|Marazano, Ponzio|Dargaud|2011||9782205063332|fr|
Le Protocole Pélican (02)|Marazano, Ponzio|Dargaud|2012||9782205067071|fr|
Le Protocole Pélican (03)|Marazano, Ponzio|Dargaud|2013||9782205067903|fr|
Le Régulateur|Corbeyran, Moreno|Delcourt|||9782840556886|fr|
Le retour à la terre (1) La Vraie Vie|Jean-Yves Ferri, Manu Larcenet|Dargaud|||9782205057331|fr|
Le retour à la terre (2) Les Projets|Jean-Yves Ferri, Manu Larcenet|Dargaud|||9782205057324|fr|
Le retour à la terre (3) Le Vaste Monde|Jean-Yves Ferri, Manu Larcenet|Dargaud|||9782205056259|fr|
Le retour à la terre (4) Le  Déluge|Jean-Yves Ferri, Manu Larcenet|Dargaud|||9782205058147|fr|
Le retour à la terre (5) Les Révolutions|Jean-Yves Ferri, Manu Larcenet|Dargaud|||9782205062359|fr|
Le Triangle Secret - L'intégrale|Didier Convard, André Juillard, Denis Falque, Christian Gine, Pierre Wachs, Gilles Chaillet, Eric Stalner, Jean-Charles Kraehn, Patrick Jusseaume, Paul|Glénat|||9782723461429|fr|
Léonard (05) Génie à toute Heure|Turk & De Groot|Le Lombard|2000|280361524X|9782803615247|fr|
Léonard (10) La Guerre Des Génies|Turk & De Groot|Dargaud|1996|2205032178|9782205032178|fr|
Léonard (28) Génie Toujours prêt !|Turk & De Groot|Editions Appro|1998||9782884250122|fr|
Léonard est un génie (1)|De Groot, Turk|Dargaud|||9782205032086|fr|
Les Aquanautes - T1-T2-T3|Parnotte, Mallié, Rieu|Soleil|||9782845653796|fr|
Les Aquanautes - T4 Le diodon|Parnotte, Mallié, Rieu|Soleil|||9782845659162|fr|
Les Aventures de Blake et Mortimer (14) La Machination Voronov |Yves Sente, André Juillard|Edition Blake et Mortimer|||9782870970522|fr|
Les Aventures de Blake et Mortimer (A) L'affaire Francis Blake|Jan Van Hamme, Ted Benoit|Edition Blake et Mortimer||2870970439|9782870970485|fr|
Les aventures de Philip et Francis - T1 Menaces sur l'empire|Pierre Veys, Nicolas Barral|Dargaud|||9782205054576|fr|
Les aventures de Philip et Francis - T2 le piège machiavélique|Pierre Veys, Nicolas Barral|Dargaud|||9782205058437|fr|
Les aventures de Rik et Aléka|Calza|Libre Bulle||2940074992||fr|
Les aventures de Spirou et Fantasio (30) La Ceinture du Grand Froid|Nic, Cauvin|Dupuis|1983|2800109777|5410983217008|fr|
Les Aventures de Tintin (0?) Le trésor de Rackham le Rouge|Hergé|Casterman|1947|||fr|B35 1964
Les Aventures de Tintin (05) Le Lotus Bleu|Hergé|Casterman|1946|||fr|B35 1964
Les Aventures de Tintin (14) Le Temple du Soleil|Hergé|Casterman|1949|||fr|B39 1971
Les Aventures de Tintin (16) Objectif Lune|Hergé|Casterman|1953|||fr|B35 1964
Les Aventures de Tintin (17) On a marché sur la Lune|Hergé|Casterman|1954|||fr|B35 1964
Les Aventures de Tintin (19) Coke en Stock|Hergé|Casterman|1958|||fr|B38bis 1969
Les Aventures de Tintin (9) Le crabe aux pinces d'or|Hergé|Casterman|1947|||fr|B35 1964
Les aventures du Gottferdom Studio - Indiana Dom|dav|Soleil|||9782302003774|fr|
Les aventures du Gottferdom Studio - Le Fainéant des Anneaux|dav|Soleil|||9782849461136|fr|
Les Carottes sont cuites|Petillon|Les humanoïdes associés|1980|273160025X||fr|
Les Clés de la Bande Dessinée - T1 L'Art séquentiel|Will Eisner|Delcourt|||9782756019833|fr|
Les cosmonautes du futur (1)|Lewis Trondheim, Manu Larcenet|Dargaud|||9782205049138|fr|
Les cosmonautes du futur (2) Le Retour|Lewis Trondheim, Manu Larcenet|Dargaud|||9782205050783|fr|
Les cosmonautes du futur (3) Résurrection|Lewis Trondheim, Manu Larcenet|Dargaud|||9782205052930|fr|
Les Entremondes (1) Lazarr|Patrice Larcenet, Manu Larcenet|Dargaud|||9782205049824|fr|
Les Entremondes (2) Les eaux lourdes|Patrice Larcenet, Manu Larcenet|Dargaud|||9782205050790|fr|
